Descriptores,1980|T1,1980|T2,1980|T3,1980|T4,1980|6 Meses,1980|9 Meses,1980|Anual,1981|T1,1981|T2,1981|T3,1981|T4,1981|6 Meses,1981|9 Meses,1981|Anual,1982|T1,1982|T2,1982|T3,1982|T4,1982|6 Meses,1982|9 Meses,1982|Anual,1983|T1,1983|T2,1983|T3,1983|T4,1983|6 Meses,1983|9 Meses,1983|Anual,1984|T1,1984|T2,1984|T3,1984|T4,1984|6 Meses,1984|9 Meses,1984|Anual,1985|T1,1985|T2,1985|T3,1985|T4,1985|6 Meses,1985|9 Meses,1985|Anual,1986|T1,1986|T2,1986|T3,1986|T4,1986|6 Meses,1986|9 Meses,1986|Anual,1987|T1,1987|T2,1987|T3,1987|T4,1987|6 Meses,1987|9 Meses,1987|Anual,1988|T1,1988|T2,1988|T3,1988|T4,1988|6 Meses,1988|9 Meses,1988|Anual,1989|T1,1989|T2,1989|T3,1989|T4,1989|6 Meses,1989|9 Meses,1989|Anual,1990|T1,1990|T2,1990|T3,1990|T4,1990|6 Meses,1990|9 Meses,1990|Anual,1991|T1,1991|T2,1991|T3,1991|T4,1991|6 Meses,1991|9 Meses,1991|Anual,1992|T1,1992|T2,1992|T3,1992|T4,1992|6 Meses,1992|9 Meses,1992|Anual,1993|T1,1993|T2,1993|T3,1993|T4,1993|6 Meses,1993|9 Meses,1993|Anual,1994|T1,1994|T2,1994|T3,1994|T4,1994|6 Meses,1994|9 Meses,1994|Anual,1995|T1,1995|T2,1995|T3,1995|T4,1995|6 Meses,1995|9 Meses,1995|Anual,1996|T1,1996|T2,1996|T3,1996|T4,1996|6 Meses,1996|9 Meses,1996|Anual,1997|T1,1997|T2,1997|T3,1997|T4,1997|6 Meses,1997|9 Meses,1997|Anual,1998|T1,1998|T2,1998|T3,1998|T4,1998|6 Meses,1998|9 Meses,1998|Anual,1999|T1,1999|T2,1999|T3,1999|T4,1999|6 Meses,1999|9 Meses,1999|Anual,2000|T1,2000|T2,2000|T3,2000|T4,2000|6 Meses,2000|9 Meses,2000|Anual,2001|T1,2001|T2,2001|T3,2001|T4,2001|6 Meses,2001|9 Meses,2001|Anual,2002|T1,2002|T2,2002|T3,2002|T4,2002|6 Meses,2002|9 Meses,2002|Anual,2003|T1,2003|T2,2003|T3,2003|T4,2003|6 Meses,2003|9 Meses,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|6 Meses,2004|9 Meses,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|6 Meses,2005|9 Meses,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|6 Meses,2006|9 Meses,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|6 Meses,2007|9 Meses,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|6 Meses,2008|9 Meses,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|6 Meses,2009|9 Meses,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|6 Meses,2010|9 Meses,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|6 Meses,2011|9 Meses,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|6 Meses,2012|9 Meses,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|6 Meses,2013|9 Meses,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|6 Meses,2014|9 Meses,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|6 Meses,2015|9 Meses,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|6 Meses,2016|9 Meses,2016|Anual,2017|T1,2017|T2,2017|T3,2017|T4,2017|6 Meses,2017|9 Meses,2017|Anual,2018|T1,2018|T2,2018|T3,2018|T4,2018|6 Meses,2018|9 Meses,2018|Anual,2019|T1,2019|T2,2019|T3,2019|T4,2019|6 Meses,2019|9 Meses,2019|Anual,2020|T1<P>,2020|T2<P>,2020|T3<P>,2020|T4<P>,2020|6 Meses<P>,2020|9 Meses<P>,2020|Anual<P>,2021|T1<P>,2021|T2<P>,2021|T3<P>,2021|T4<P>,2021|6 Meses<P>,2021|9 Meses<P>,2021|Anual<P>,2022|T1<R>,2022|T2<P>,2022|T3,2022|T4,2022|6 Meses,2022|9 Meses,2022|Anual
"B.1bP---Producto interno bruto<C1,C2>",7547882.144,7536518.992,7478780.819999998,8008666.6400000015,7542200.568,7521060.652,7642962.149,8229212.7020000005,8417818.003999999,8211045.527,8614524.865,8323515.353,8286025.411,8368150.275,8512096.399999999,8481760.759000003,8198953.899,8277251.688999998,8496928.58,8397603.686,8367515.687,8120479.850000001,7997531.117000001,7764430.844000001,8127328.588000001,8059005.484,7960813.937,8002442.6,8384896.23,8232124.572999999,8119301.524,8389536.374000002,8308510.402,8245440.776,8281464.675,8539105.041000001,8487030.468000002,8193121.959000001,8528896.049,8513067.755,8406419.156,8437038.379,8208491.352000002,8409218.652000003,7769449.782999998,8109501.791,8308855.002,8129053.262,8124165.395,8119219.038000001,8443175.116000002,8038083.561,8568977.286999999,8281197.077,8200159.238,8292363.751,8378163.162000001,8546889.027999997,8031742.407999999,8636950.844,8462526.095,8318931.533,8398436.361,8575114.059,8912465.891,8452556.702999998,8881444.761999996,8743789.975,8646712.218,8705395.354,8964419.624,9262515.904999997,8885511.844,9522792.509,9113467.765,9037482.458,9158809.971,9268190.329,9775235.334999999,9176389.016,9894608.989000002,9521712.832,9406604.893,9528605.917,9701986.33,9986417.75,9607923.069000002,10155182.257,9844202.04,9765442.383,9862877.352,10008894.663,10171035.407,10066258.406,10416096.231,10089965.035,10082062.826,10165571.177,10343388.49,10772526.228,10602752.886,10952773.398,10557957.359,10572889.201,10667860.25,10189745.483,9795718.997,9802904.372,10198513.301,9992732.24,9929456.284,9996720.538,10426430.907,10569227.512,10583112.1,11116526.604,10497829.21,10526256.84,10673824.281,10862932.039,11460068.097,11408200.828,11887380.083,11161500.068,11243733.655,11404645.262,11827638.014,12034464.21,11972371.607,12139816.605,11931051.112,11944824.61,11993572.609,12100154.549,12315219.076,12325229.13,12554685.793,12207686.812,12246867.585,12323822.137,12725022.063,12994568.899,13008792.244,13003302.161,12859795.481,12909461.069,12932921.342,12796119.499,12967530.185,12857408.646,12901429.21,12881824.842,12873686.11,12880621.885,12415541.447,13112362.762,12889950.083,13084104.38,12763952.104,12805951.431,12875489.668,12803323.706,13182930.05,12954912.936,13305707.392,12993126.878,12980388.897,13061718.521,13252629.589,13732335.998,13438260.095,13872034.546,13492482.793,13474408.561,13573815.057,13354787.894,14104833.951,13782144.43,14306523.806,13729810.922,13747255.425,13887072.52,14107960.045,14700503.916,14435867.697,14800897.33,14404231.98,14414777.219,14511307.247,14393727.358,14993339.384,14783298.239,15204938.92,14693533.371,14723454.993,14843825.975,14563428.413,15386334.066,14979494.72,15125053.525,14974881.24,14976419.066,15013577.681,13752148.753,14012937.528,14231941.432,14882965.803,13882543.141,13999009.238,14219998.379,14371721.284,14998399.428,14921452.909,15499605.164,14685060.356,14763857.873,14947794.696,14902733.814,15413046.497,15526014.885,16139539.208,15157890.155,15280598.399,15495333.601,15619753.303,16027466,15952811.186,16638864.115,15823609.652,15866676.83,16059723.651,15719784.508,16361860.91,16186108.939,16840993.955,16040822.709,16089251.452,16277187.078,16162079.475,16743455.705,16649895.971,17408768.857,16452767.59,16518477.05,16741050.002,16710181.544,17261188.443,17331651.612,17866410.985,16985684.993,17101007.2,17292358.146,17166447.835,17781185.227,17625653.337,18415670.536,17473816.531,17524428.8,17747239.234,17757308.367,18084569.286,17900716.868,18746450.747,17920938.826,17914198.174,18122261.317,18019698.535,18671189.451,18405925.458,18983362.544,18345443.993,18365604.481,18520043.997,18237313.081,18461456.682,18371468.367,18862482.917,18349384.882,18356746.044,18483180.262,18078352.773,15023632.132,16825282.572,18048458.682,16550992.452,16642422.492,16993931.54,17382337.204,18013549.789,17579754.183,18251012.6,17697943.497,17658547.059,17806663.444,17699883.764,18382118.292,,,18041001.028,,
"D.21-D.31---Impuestos sobre los productos, netos",282092.939,281668.255,279510.361,299314.201,281880.597,281090.518,285646.439,307556.843,314605.737,306877.867,321957.417,311081.29,309680.149,312749.466,318129.278,316995.52,306425.957,309352.242,317562.399,313850.252,312725.749,303493.084,298898.024,290186.184,303749.047,301195.554,297525.764,299081.585,313375.326,307665.67,303449.046,313548.746,310520.498,308163.347,309509.697,319138.693,317192.469,306207.995,318757.144,318165.581,314179.719,315324.075,306782.407,314284.346,290373.761,303082.792,310533.377,303813.505,303630.827,303445.963,315553.428,300413.623,320255.132,309499.696,306471.005,309917.037,313123.685,319429.61,300176.63,322795.561,316276.648,310909.975,313881.372,320484.486,333092.602,315904.054,331933.225,326788.544,323160.381,325353.592,335034.31,346175.296,332085.227,355902.819,340604.803,337764.944,342299.413,346387.371,365337.563,342956.409,369799.009,355862.467,351560.448,356120.088,362599.97,373230.25,359084.47,379537.618,367915.11,364971.563,368613.077,388593.508,388084.195,379390.118,422663.999,388338.852,385355.94,394682.955,409249.729,428658.303,430235.414,433173.579,418954.016,422714.482,425329.256,409332.866,363921.863,374861.067,398450.151,386627.365,382705.266,386641.487,406708.476,393786.26,400158.716,439556.964,400247.368,400217.817,410052.604,415296.997,434107.935,443297.627,468735.333,424702.466,430900.853,440359.473,455705.144,458753.157,454403.686,467280.558,457229.15,456287.329,459035.636,465406.43,478544.294,479013.732,491472.835,471975.362,474321.486,478609.323,482883.855,483991.158,508508.66,478291.611,483437.507,491794.558,488418.821,503815.049,500219.34,491740.591,474788.124,502017.194,498591.66,492640.776,476020.185,503406.877,501488.071,502351.61,489713.531,493638.378,495816.686,478501.139,506687.293,508065.114,517199.858,492594.216,497751.182,502613.351,502742.871,531489.007,530276.712,528002.862,517115.939,521502.863,523127.863,517695.971,550407.592,541645.338,547653.691,534051.782,536582.967,539350.648,557034.356,589660.207,583737.608,589261.825,573347.282,576810.724,579923.499,568981.875,601369.211,599747.005,587348.854,585175.543,590032.697,589361.736,583764.113,630815.346,619585.758,609119.003,607289.73,611388.406,610821.055,544393.534,547809.245,584418.539,609184.286,546101.39,558873.773,571451.401,564548.737,598643.301,603916.279,614467.807,581596.019,589036.106,595394.031,589760.54,616867.925,624806.205,646713.366,603314.233,610478.223,619537.009,609391.278,623760.69,634629.6,647143.023,616575.984,622593.856,628731.148,606599.235,634088.04,643804.559,653777.098,620343.637,628163.945,634567.233,644173.654,666811.909,676429.421,708153.885,655492.781,662471.661,673892.217,667506.677,701117.193,723570.365,759584.273,684311.935,697398.078,712944.627,718850.342,753658.48,775714.15,810532.823,736254.411,749407.658,764688.949,758454.697,788325.253,797788.604,825239.294,773389.975,781522.851,792451.962,781091.949,810808.134,826608.548,856608.974,795950.041,806169.543,818779.401,800603.763,799882.801,820289.683,847707.849,800243.282,806925.416,817121.024,766469.626,616524.633,700240.181,756586.16,691497.129,694411.48,709955.15,701903.379,731874.492,765413.078,810451.227,716888.935,733063.65,752410.544,749159.949,788491.53,,,768825.74,,
"B.1bV---Valor agregado bruto<C1,C3>",7265789.205,7254850.737,7199270.458999999,7709352.439000001,7260319.971,7239970.134,7357315.71,7921655.859,8103212.266999999,7904167.66,8292567.448000001,8012434.063,7976345.262,8055400.809,8193967.121999999,8164765.239000003,7892527.942,7967899.446999999,8179366.181,8083753.434,8054789.938,7816986.766000001,7698633.093,7474244.660000001,7823579.541000001,7757809.93,7663288.173,7703361.015,8071520.904,7924458.902999999,7815852.478,8075987.628000002,7997989.904,7937277.428,7971954.978,8219966.348,8169837.999000002,7886913.964000001,8210138.905000001,8194902.174,8092239.437,8121714.304,7901708.945000002,8094934.306000002,7479076.021999998,7806418.999,7998321.626,7825239.758,7820534.568,7815773.075,8127621.688000002,7737669.938,8248722.154999999,7971697.382,7893688.234,7982446.714,8065039.477000002,8227459.417999998,7731565.777999999,8314155.283,8146249.448,8008021.558,8084554.989,8254629.573000001,8579373.289,8136652.648999998,8549511.536999997,8417001.431,8323551.837,8380041.762,8629385.314,8916340.608999997,8553426.617,9166889.69,8772862.962,8699717.513,8816510.558,8921802.958,9409897.772,8833432.607,9524809.980000002,9165850.365,9055044.446,9172485.829,9339386.36,9613187.5,9248838.599000001,9775644.638999999,9476286.93,9400470.82,9494264.275,9620301.155,9782951.212,9686868.289,9993432.232,9701626.184,9696706.885,9770888.222,9934138.761,10343867.925,10172517.471,10519599.819,10139003.343,10150174.719,10242530.994,9780412.617,9431797.134,9428043.304,9800063.149,9606104.875,9546751.018,9610079.051,10019722.431,10175441.252,10182953.385,10676969.64,10097581.842,10126039.023,10263771.677,10447635.043,11025960.162,10964903.201,11418644.75,10736797.602,10812832.802,10964285.789,11371932.87,11575711.053,11517967.921,11672536.048,11473821.961,11488537.281,11534536.973,11634748.119,11836674.782,11846215.398,12063212.958,11735711.45,11772546.099,11845212.814,12242138.208,12510577.742,12500283.584,12525010.55,12376357.975,12417666.511,12444502.521,12292304.45,12467310.845,12365668.055,12426641.086,12379807.648,12375094.45,12387981.109,11939521.261,12608955.885,12388462.012,12581752.77,12274238.573,12312313.053,12379672.982,12324822.567,12676242.757,12446847.822,12788507.534,12500532.662,12482637.715,12559105.17,12749886.718,13200846.991,12907983.383,13344031.684,12975366.854,12952905.697,13050687.194,12837091.923,13554426.358,13240499.092,13758870.115,13195759.141,13210672.458,13347721.872,13550925.689,14110843.709,13852130.089,14211635.505,13830884.699,13837966.496,13931383.748,13824745.483,14391970.173,14183551.234,14617590.066,14108357.828,14133422.297,14254464.239,13979664.3,14755518.72,14359908.962,14515934.522,14367591.51,14365030.661,14402756.626,13207755.219,13465128.283,13647522.893,14273781.517,13336441.751,13440135.465,13648546.978,13807172.547,14399756.127,14317536.629,14885137.357,14103464.337,14174821.768,14352400.665,14312973.274,14796178.571,14901208.68,15492825.842,14554575.923,14670120.175,14875796.592,15010362.025,15403705.31,15318181.586,15991721.091,15207033.667,15244082.974,15430992.503,15113185.273,15727772.87,15542304.38,16187216.857,15420479.071,15461087.508,15642619.845,15517905.821,16076643.797,15973466.55,16700614.972,15797274.809,15856005.389,16067157.785,16042674.867,16560071.25,16608081.247,17106826.712,16301373.058,16403609.121,16579413.519,16447597.493,17027526.747,16849939.187,17605137.713,16737562.12,16775021.142,16982550.285,16998853.67,17296244.033,17102928.263,17921211.453,17147548.852,17132675.322,17329809.355,17238606.586,17860381.318,17579316.91,18126753.57,17549493.952,17559434.938,17701264.596,17436709.318,17661573.882,17551178.684,18014775.068,17549141.6,17549820.628,17666059.238,17311883.148,14407107.499,16125042.391,17291872.523,15859495.323,15948011.012,16283976.39,16680433.825,17281675.297,16814341.105,17440561.373,16981054.561,16925483.409,17054252.9,16950723.815,17593626.762,,,17272175.288,,
"B.1bV---Valor agregado bruto|Actividades primarias<C1,C3>",320667.549,287579.2679999999,304948.75100000005,316649.9319999999,304123.409,304398.523,307461.375,335400.96199999994,317798.02300000004,322028.033,350034.52,326599.493,325075.673,331315.385,355697.185,327458.899,302562.62000000005,309605.31599999993,341578.042,328572.901,323831.005,337303.339,315329.0179999999,313931.603,354682.586,326316.179,322187.987,330311.637,339541.18400000007,331220.8560000001,321378.03199999995,347735.774,335381.02,330713.357,334968.962,335040.792,360471.27300000004,321072.887,363838.278,347756.033,338861.651,345105.808,355883.589,346246.858,323899.73199999996,336001.509,351065.224,342010.06,340507.922,352816.71200000006,351452.7109999999,324635.04600000003,350203.82700000005,352134.712,342968.156,344777.074,341083.54600000003,340200.616,310088.1059999999,341044.786,340642.081,330457.423,333104.264,337291.64699999994,312941.97599999997,318385.76099999994,344995.15499999997,325116.812,322873.128,328403.635,335247.503,354587.20900000003,311549.0129999999,407631.122,344917.356,333794.575,352253.712,343401.28500000003,365899.40700000006,317055.73099999997,414243.2519999999,354650.346,342118.808,360149.919,317289.351,358537.4280000001,313057.27499999997,419616.0609999999,337913.39,329628.018,352125.029,356222.154,364092.188,352560.802,406012.52,360157.171,357625.048,369721.916,349532.754,388452.542,326544.905,416051.623,368992.648,354843.4,370145.456,345778.239,364700.336,358865.501,432118.933,355239.287,356448.025,375365.752,381614.088,381038.878,355982.908,441739.815,381326.483,372878.624,390093.922,381977.532,392892.867,343451.199,441757.07,387435.199,372773.866,390019.667,400472.632,395869.739,374599.339,436960.389,398171.186,390313.904,401975.525,441942.193,389870.927,363161.193,434696.067,415906.56,398324.771,407417.595,422422.225,413519.382,346637.289,461258.863,417970.804,394192.966,410959.44,408857.246,443463.645,381685.67,497817.126,426160.446,411335.521,432955.922,419345.272,438028.126,378747.268,480003.538,428686.699,412040.222,429031.051,434335.975,453703.146,393341.495,500491.525,444019.56,427126.872,445468.035,464247.177,457607.51,379136.827,522891.134,460927.343,433663.838,455970.662,434627.717,433367.75,396089.28,493309.989,433997.733,421361.582,439348.684,451479.288,474684.484,390257.06,551322.747,463081.886,438806.944,466935.895,470659.971,502518.262,409410.469,564140.198,486589.117,460862.901,486682.225,455913.809,512042.751,401706.695,576196.601,483978.28,456554.418,486464.964,450979.112,504523.374,397485.704,551636.255,477751.243,450996.063,476156.111,442771.052,533487.7,420307.458,555549.914,488129.376,465522.07,488029.031,439332.433,466688.587,421549.367,551075.893,453010.51,442523.462,469661.57,455690.621,524425.353,422535.303,595410.923,490057.987,467550.426,499515.55,459090.682,543497.175,427915.871,613119.048,501293.929,476834.576,510905.694,483224.279,558289.731,453279.696,625456.354,520757.005,498264.569,530062.515,509015.281,566845.216,453568.945,634688.127,537930.248,509809.814,541029.392,513084.776,584011.946,474170.706,668973.612,548548.361,523755.809,560060.26,538261.974,598200.228,480362.766,699024.668,568231.101,538941.656,578962.409,566925.305,616108.75,487155.15,705973.295,591517.028,556729.735,594040.625,575787.118,607732.688,493860.013,692581.629,591759.903,559126.606,592490.362,568700.836,589701.724,517173.024,702024.2,579201.28,558525.195,594399.946,563066.68,622706.481,510677.1,734565.524,592886.581,565483.421,607753.947,572708.808,631719.873,,,602214.34,,
"B.1bV---Valor agregado bruto|Actividades secundarias<C1,C3>",2864062.8999999994,2877701.6520000007,2935853.315,3037769.9620000008,2870882.276,2892539.289,2928846.957,3142427.4490000005,3286989.0789999994,3312083.3460000004,3270025.0479999995,3214708.264,3247166.625,3252881.231,3269031.172999999,3294492.046,3236595.5730000003,3070717.2939999993,3281761.61,3266706.264,3217709.022,2905809.140000001,2914584.56,2898295.402,2913668.5920000006,2910196.85,2906229.701,2908089.424,2973296.202,3011295.5940000005,3076299.1540000006,3091669.545000001,2992295.898,3020296.983,3038140.124,3141885.7109999997,3139853.945,3164352.296,3140545.731,3140869.828,3148697.317,3146659.421,2982531.678000001,3050829.2120000017,2890542.6589999995,2842483.701,3016680.445,2974634.516,2941596.813,2895722.7419999996,3066417.362,3090423.0609999998,3123479.939,2981070.052,3017521.055,3044010.776,3073401.624000001,3119758.7859999994,3065880.063,3150783.6419999995,3096580.205,3086346.824,3102456.029,3146100.4880000004,3293615.8880000003,3243889.1339999996,3223116.162999999,3219858.188,3227868.503,3226680.418,3353353.8970000003,3423351.3609999996,3452428.412,3487003.757,3388352.629,3409711.223,3429034.357,3426135.344000001,3577770.979,3504123.405,3615563.090000001,3501953.162,3502676.576,3530898.205,3606103.6500000004,3646176.474,3718514.146,3693683.877,3626140.062,3656931.423,3666119.537,3657173.114,3592667.58,3680608.23,3805311.819,3624920.347,3643482.975,3683940.186,3814213.307,3848188.965,3943451.482,3948451.669,3831201.136,3868617.918,3888576.356,3596884.305,3302481.277,3435316.451,3526855.743,3449682.791,3444894.011,3465384.444,3776237.408,3746973.834,3917543.206,4059289.469,3761605.621,3813584.816,3875010.979,3974770.964,4114336.368,4296176.475,4338194.045,4044553.666,4128427.936,4180869.463,4403979.216,4348689.99,4515945.534,4453752.356,4376334.603,4422871.58,4430591.774,4492361.163,4407481.07,4591794.033,4503163.945,4449921.117,4497212.089,4498700.053,4679081.296,4638675.445,4859033.714,4609216.486,4658878.37,4725596.818,4696501.735,4639267.188,4490483.148,4712173.891,4533894.904,4564875.168,4613974.743,4593954.783,4399845.347,4508189.402,4626349.866,4565219.017,4454017.374,4511461.538,4524900.908,4545572.711,4560262.232,4671153.868,4641100.132,4552917.472,4592329.604,4604522.236,4726021.715,4765953.106,4823286.1,4812481.871,4745987.411,4771753.64,4781935.698,4744525.503,4922286.373,4887200.24,4985027.996,4833405.938,4851337.372,4884760.028,5001067.448,5091626.881,5153343.116,5099881.835,5046347.165,5082012.482,5086479.82,5074114.394,5137437.047,5163809.157,5159070.982,5105775.72,5125120.199,5133607.895,5057545.204,5169344.251,5091513.379,5000531.422,5113444.728,5106134.278,5079733.564,4607884.026,4618873.169,4740761.64,4832427.809,4613378.598,4655839.612,4699986.661,4813774.185,4926459.897,4941622.309,4970880.53,4870117.041,4893952.13,4913184.23,4888593.236,5022410.891,5081998.078,5219676.78,4955502.063,4997667.401,5053169.746,5111749.888,5192599.355,5245820.594,5237469.776,5152174.621,5183389.945,5196909.903,5069713.887,5203390.663,5199164.965,5268980.108,5136552.275,5157423.172,5185312.406,5204575.83,5334812.911,5325272.765,5410258.913,5269694.371,5288220.502,5318730.105,5276409.281,5345067.998,5473295.613,5414475.68,5310738.64,5364924.297,5377312.143,5332003.036,5418378.886,5403284.182,5423665.409,5375190.961,5384555.368,5394332.878,5390112.33,5373416.767,5371934.514,5388078.638,5381764.548,5378487.87,5380885.562,5363257.114,5493156.413,5445423.527,5315976.475,5428206.763,5433945.684,5404453.382,5348643.154,5313785.97,5357737.966,5199290.126,5331214.562,5340055.697,5304864.304,5252831.357,4010536.179,4904834.209,5027686.303,4631683.768,4722733.915,4798972.012,5072431.545,5090826.646,5140788.751,5114207.965,5081629.096,5101348.981,5104563.727,5231935.884,5259746.909,,,5245841.397,,
"B.1bV---Valor agregado bruto|Actividades terciarias<C1,C3>",4081058.756,4089569.8169999993,3958468.392999999,4354932.545,4085314.287,4043032.322,4121007.378,4443827.448,4498425.164999999,4270056.281,4672507.880000001,4471126.307,4404102.965,4471204.194,4569238.7639999995,4542814.294000003,4353369.748999999,4587576.836999999,4556026.529,4488474.269,4513249.911,4573874.287,4468719.515000001,4262017.655000001,4555228.363000001,4521296.901,4434870.486,4464959.955,4758683.518,4581942.452999999,4418175.291999999,4636582.309000001,4670312.986,4586267.088,4598845.893,4743039.845000001,4669512.781000001,4401488.781,4705754.896000001,4706276.313,4604680.469,4629949.076,4563293.678000001,4697858.2360000005,4264633.630999999,4627933.789,4630575.957,4508595.182,4538429.834,4567233.621,4709751.615000002,4322611.831,4775038.3889999995,4638492.618,4533199.022,4593658.864,4650554.307000001,4767500.015999999,4355597.608999999,4822326.855,4709027.162,4591217.311,4648994.697,4771237.438000001,4972815.425000001,4574377.753999999,4981400.218999999,4872026.432,4772810.206,4824957.709,4940783.914,5138402.038999999,4789449.192000001,5272254.810999999,5039592.977,4956211.715,5035222.489,5152266.328999999,5466227.386000001,5012253.471,5495003.638000001,5309246.858,5210249.062,5281437.706,5415993.358999999,5608473.597999999,5217267.178000001,5662344.7009999985,5512233.479,5413911.378,5476019.709,5606905.887,5826191.444,5653699.256,5782107.893,5716548.665,5695598.862,5717226.12,5770392.699,6107226.417,5902521.084,6155096.527,5938809.558,5926713.4,5983809.182,5837750.073,5764615.521,5633861.352,5841088.473,5801182.797,5745408.982,5769328.855,5861870.936,6047428.541,5909427.271,6175940.357,5954649.738,5939575.582,5998666.776,6090886.546,6518730.927,6325275.527,6638693.635,6304808.737,6311631,6393396.659,6567481.022,6831151.323,6627423.048,6781823.303,6699316.172,6675351.798,6701969.674,6700444.762,7039322.785,6891260.172,7125352.945,6869883.774,6877009.24,6939095.166,7140634.687,7458382.915,7294612.581,7454535.201,7299508.801,7297876.728,7337041.346,7244180.016,7533364.051,7271808.493,7394929.056,7388772.033,7349784.187,7361070.404,7120330.643,7662738.357,7383364.877,7536530.215,7391534.5,7388811.292,7425741.023,7344913.881,7662277.379,7382352.459,7646915.877,7503595.63,7463181.24,7509114.899,7559617.826,7977286.374,7705560.456,8008658.679,7768452.1,7747488.219,7812780.834,7657938.702,8198772.236,7957209.572,8280532.13,7928355.469,7937973.503,8023613.16,8098378.953,8544532.343,8308529.913,8560430.923,8321455.648,8317147.07,8377968.033,8279971.118,8752014.865,8610331.608,8894378.886,8515992.991,8547439.197,8634174.119,8466205.287,9074131.717,8866688.888,8939206.5,8770168.502,8802341.964,8836558.098,8148892.081,8341731.741,8509275.549,8889717.453,8245311.911,8333299.79,8472404.206,8550627.31,8939808.529,8955606.863,9358706.914,8745217.92,8815347.567,8951187.404,8985047.605,9307079.094,9397661.235,9722073.17,9146063.349,9229929.311,9352965.276,9442921.516,9686680.602,9649825.689,10158840.392,9564801.059,9593142.603,9734567.05,9584380.704,9980885.031,9915223.544,10305117.701,9782632.867,9826829.76,9946401.745,9830105.712,10183541.154,10194914.088,10664899.706,10006823.433,10069520.318,10218365.165,10257250.305,10648158.036,10681216.689,11057662.906,10452704.171,10528875.01,10661071.984,10602509.682,11025135.915,10972484.299,11512498.692,10813822.798,10866709.965,11028157.147,11070479.366,11324627.038,11250630.984,11834108.148,11197553.202,11215245.796,11369961.384,11308424.167,11751116.155,11646738.234,12104803.8,11529770.161,11568759.519,11702770.589,11512279.046,11740055.223,11699580.705,12122903.313,11626167.135,11650638.325,11768704.572,11490350.954,9806869.596,10703035.158,11562162.02,10648610.275,10666751.903,10890604.432,11044935.6,11568142.17,11162875.254,11591787.884,11306538.885,11258651.008,11341935.227,11146079.123,11702159.98,,,11424119.552,,
