Fecha,TIIE,mes,Año
30-07-21,4.44,7,2021
31-08-21,4.63,8,2021
30-09-21,4.66,9,2021
29-10-21,4.88,10,2021
30-11-21,4.97,11,2021
31-12-21,5.43,12,2021
31-01-22,5.5,1,2022
28-02-22,6.01,2,2022
31-03-22,6.52,3,2022
29-04-22,6.61,4,2022
31-05-22,7.05,5,2022
30-06-22,7.8,6,2022
29-07-22,7.8,7,2022
31-08-22,8.66,8,2022
30-09-22,9.35,9,2022
17-10-22,9.23,10,2022
