01/01/1988	, 176.83
01/02/1988	, 179.73
01/03/1988	, 175.83
01/04/1988	, 161.44
01/05/1988	, 147.82
01/06/1988	, 135.81
01/07/1988	, 121.79
01/08/1988	, 106.92
01/09/1988	, 95.24
01/10/1988	, 81.59
01/11/1988	, 70.5
01/12/1988	, 51.66
01/01/1989	, 34.56
01/02/1989	, 25.89
01/03/1989	, 21.05
01/04/1989	, 19.2
01/05/1989	, 18.54
01/06/1989	, 17.58
01/07/1989	, 16.81
01/08/1989	, 16.85
01/09/1989	, 17.3
01/10/1989	, 18.13
01/11/1989	, 18.21
01/12/1989	, 19.7
01/01/1990	, 22.48
01/02/1990	, 23.57
01/03/1990	, 24.4
01/04/1990	, 24.43
01/05/1990	, 24.89
01/06/1990	, 26.11
01/07/1990	, 27.13
01/08/1990	, 28.08
01/09/1990	, 28.68
01/10/1990	, 28.62
01/11/1990	, 30.21
01/12/1990	, 29.93
01/01/1991	, 27.11
01/02/1991	, 26.46
01/03/1991	, 26.04
01/04/1991	, 25.45
01/05/1991	, 24.51
01/06/1991	, 23.1
01/07/1991	, 21.97
01/08/1991	, 20.76
01/09/1991	, 20.25
01/10/1991	, 19.92
01/11/1991	, 19.72
01/12/1991	, 18.79
01/01/1992	, 17.95
01/02/1992	, 17.3
01/03/1992	, 16.82
01/04/1992	, 16.64
01/05/1992	, 16.28
01/06/1992	, 15.85
01/07/1992	, 15.56
01/08/1992	, 15.46
01/09/1992	, 15.32
01/10/1992	, 14.82
01/11/1992	, 12.96
01/12/1992	, 11.94
01/01/1993	, 11.32
01/02/1993	, 10.91
01/03/1993	, 10.44
01/04/1993	, 10.09
01/05/1993	, 10
01/06/1993	, 9.87
01/07/1993	, 9.7
01/08/1993	, 9.62
01/09/1993	, 9.48
01/10/1993	, 9.14
01/11/1993	, 8.72
01/12/1993	, 8.01
01/01/1994	, 7.5
01/02/1994	, 7.18
01/03/1994	, 7.1
01/04/1994	, 7.01
01/05/1994	, 6.92
01/06/1994	, 6.85
01/07/1994	, 6.81
01/08/1994	, 6.74
01/09/1994	, 6.71
01/10/1994	, 6.83
01/11/1994	, 6.93
01/12/1994	, 7.05
01/01/1995	, 10.23
01/02/1995	, 14.31
01/03/1995	, 20.43
01/04/1995	, 29.39
01/05/1995	, 34.15
01/06/1995	, 37.72
