01/01/2008	, 10.8262
01/02/2008	, 10.7243
01/03/2008	, 10.6482
01/04/2008	, 10.5095
01/05/2008	, 10.3306
01/06/2008	, 10.3069
01/07/2008	, 10.0353
01/08/2008	, 10.2847
01/09/2008	, 10.9814
01/10/2008	, 12.7125
01/11/2008	, 13.3225
01/12/2008	, 13.8325
01/01/2009	, 14.3097
01/02/2009	, 15.0698
01/03/2009	, 14.1517
01/04/2009	, 13.8443
01/05/2009	, 13.1667
01/06/2009	, 13.1722
01/07/2009	, 13.2125
01/08/2009	, 13.314
01/09/2009	, 13.4928
01/10/2009	, 13.1479
01/11/2009	, 12.9157
01/12/2009	, 13.0659
01/01/2010	, 13.0098
01/02/2010	, 12.7769
01/03/2010	, 12.3306
01/04/2010	, 12.2626
01/05/2010	, 12.9146
01/06/2010	, 12.8441
01/07/2010	, 12.6455
01/08/2010	, 13.1676
01/09/2010	, 12.5998
01/10/2010	, 12.3387
01/11/2010	, 12.4664
01/12/2010	, 12.3496
01/01/2011	, 12.1519
01/02/2011	, 12.1062
01/03/2011	, 11.9084
01/04/2011	, 11.5278
01/05/2011	, 11.578
01/06/2011	, 11.723
01/07/2011	, 11.7425
01/08/2011	, 12.348
01/09/2011	, 13.7994
01/10/2011	, 13.1802
01/11/2011	, 13.61
01/12/2011	, 13.9476
01/01/2012	, 13.0077
01/02/2012	, 12.7891
01/03/2012	, 12.8093
01/04/2012	, 12.9942
01/05/2012	, 14.3047
01/06/2012	, 13.4084
01/07/2012	, 13.2833
01/08/2012	, 13.2571
01/09/2012	, 12.8695
01/10/2012	, 13.0911
01/11/2012	, 12.9268
01/12/2012	, 12.9658
01/01/2013	, 12.7094
01/02/2013	, 12.7795
01/03/2013	, 12.3612
01/04/2013	, 12.1456
01/05/2013	, 12.8035
01/06/2013	, 13.0279
01/07/2013	, 12.8464
01/08/2013	, 13.3415
01/09/2013	, 13.1747
01/10/2013	, 13.0067
01/11/2013	, 13.1101
01/12/2013	, 13.0843
01/01/2014	, 13.3769
01/02/2014	, 13.2379
01/03/2014	, 13.0549
01/04/2014	, 13.0901
01/05/2014	, 12.8609
01/06/2014	, 12.9712
01/07/2014	, 13.2269
01/08/2014	, 13.0763
01/09/2014	, 13.433
01/10/2014	, 13.4773
01/11/2014	, 13.8965
01/12/2014	, 14.7414
01/01/2015	, 14.9885
01/02/2015	, 14.9553
01/03/2015	, 15.2647
01/04/2015	, 15.3714
01/05/2015	, 15.3815
01/06/2015	, 15.6854
01/07/2015	, 16.0772
01/08/2015	, 16.7829
01/09/2015	, 16.9053
01/10/2015	, 16.5244
01/11/2015	, 16.5856
01/12/2015	, 17.2487
01/01/2016	, 18.1935
01/02/2016	, 18.102
01/03/2016	, 17.237
01/04/2016	, 17.1767
01/05/2016	, 18.4118
01/06/2016	, 18.4646
